customer_search_term,impressions,clicks,spend,14_day_total_sales,14_day_total_orders,match_type,date,campaign_name,ad_group_name
10 inch queen size mattress,63,1,34.06,0,0,PHRASE,2026-04-19,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch soft mattress,4,1,26.41,0,0,PHRASE,2026-04-30,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch spring mattress,3,1,33.76,0,0,TARGETING_EXPRESSION,2026-04-30,SPPT | Mattress | Original | Brand Protection,SPPT | Mattress | Original | Brand Protection
10 inch thick mattress,5,1,21.32,0,0,TARGETING_EXPRESSION,2026-04-18,SPPT | Mattress | Ultima | Brand Protection,SPPT | Mattress | Ultima | Brand Protection
10 inches deewancot mattresses,5,1,13.67,0,0,PHRASE,2026-04-23,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inches mattress king 72×36,9,1,17.4,0,0,PHRASE,2026-04-21,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inches orthopedic latex mattress,3,1,17.19,0,0,PHRASE,2026-04-24,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inches spring mattress,1,1,13.1,0,0,TARGETING_EXPRESSION,2026-04-28,SPPT | Mattress | Original | Competition,Original
10 months baby pillow,1,1,16.01,0,0,PHRASE,2026-04-14,SPKT | Pillow | Cuddle Pillow | Generic | Phrase,Cuddle Pillow
10 pillow covers of same design cotton,1,1,14.05,0,0,PHRASE,2026-04-25,SPKT | BEDDING | Pillow Cases | Generic | Phrase,SPKT | BEDDING | Pillow Cases | Generic | Phrase
10 x 10 comforter,3,1,15.37,0,0,PHRASE,2026-04-20,SPKT | BEDDING | COMFORTOR | GENERIC | PHRASE {},PHRASE
"10"" and above single matress",2,1,14.52,0,0,PHRASE,2026-04-28,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Single
100 % latex mattress sleepycat,7,1,10.48,0,0,PHRASE,2026-04-19,SPKT | Branded | ALL | Matt,Ultima Natutal Latex
100 cm by 55 cm baby mattress,6,1,1.3,0,0,PHRASE,2026-04-20,SPKT | Mattress | Baby Mattress | Generic | Exact,Exact
100 day free trial mattress,2,1,38.87,0,0,PHRASE,2026-04-24,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
100 day trail mattress,4,1,36.11,0,0,PHRASE,2026-04-22,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
